sid,name,phone,email,position
2009003125,이상해풀,01023140011,ivysaur@grass.poke,이사
2009003125,치코리타,01051522001,meganium@grass.poke,사장
2009003125,나무지기,01032540033,sceptile@grass.poke,사원
2013004394,파이리,01052340004,charmander@fire.poke,사장
2013004394,날쌩마,01020607709,rapidash@fire.poke,부장
2013004394,브케인,01041553104,cyndaquil@fire.poke,과장
2013004394,푸호꼬,01086530042,fennekin@fire.poke,사원
2013004394,화살꼬빈,01066162014,fletchling@normal.poke,인턴
2014005004,꼬부기,01030072322,squirtle@water.poke,사장
2014005004,리아코,01021580073,totodile@water.poke,부장
2014005004,팽도리,01039340079,piplup@water.poke,차장
2014005004,샤미드,01061344185,vaporeon@water.poke,과장
2014005004,잉어킹,01091290760,magikarp@water.poke,사원
2009003125,리피아,01061344185,leafeon@grass.poke,부장
